OBJECTID,PercentagePopOverRegion,PercentagePopAge15to19,PercentagePopAge20to24,PercentagePopAge25to29,PercentagePopAge30to34,PercentagePopAge35to39,PercentagePopAge40to44,PercentagePopAge45to49,PercentagePopAge50to54,PercentagePopAge55to59,PercentagePopAge60to64,PercentageWhiteOnly,PercentageBlackOnly,PercentageAmerIndianOnly,PercentageAsianOnly,PercentagePacIslandOnly,PercentageOther,PercentagePlus2Races,PercentageHispanic,PercentageNonHispanic,PercentageUnknown,PercentageLow,PercentageHighSchoolOrCollege,PercentageBachelors,PercentageGraduate,Households2020IncomeMedian
5,0.00203325683456134,0.0594059405940594,0.0891089108910891,0.1188118811881188,0.09900990099009901,0.0891089108910891,0.07920792079207921,0.09900990099009901,0.09900990099009901,0.1188118811881188,0.1485148514851485,0.36363636363636365,0.45454545454545453,0.0,0.12272727272727273,0.0,0.02727272727272727,0.031818181818181815,0.05909090909090909,0.9409090909090909,0.1485148514851485,0.10891089108910891,0.19801980198019803,0.5445544554455446,0.0,21640
12,0.003039819623948142,0.013245033112582781,0.039735099337748346,0.059602649006622516,0.039735099337748346,0.046357615894039736,0.11258278145695365,0.1986754966887417,0.152317880794702,0.13245033112582782,0.2052980132450331,0.030303030303030304,0.9242424242424242,0.003787878787878788,0.003787878787878788,0.0,0.011363636363636364,0.026515151515151516,0.03409090909090909,0.9659090909090909,0.052980132450331126,0.19205298013245034,0.44370860927152317,0.15894039735099338,0.152317880794702,14355
27,0.019024036719410557,0.07724867724867725,0.21375661375661376,0.22433862433862434,0.18835978835978837,0.05925925925925926,0.050793650793650794,0.044444444444444446,0.05396825396825397,0.05291005291005291,0.03492063492063492,0.10318791946308725,0.8523489932885906,0.0025167785234899327,0.015939597315436243,0.0,0.008389261744966443,0.01761744966442953,0.028523489932885907,0.9714765100671141,0.291005291005291,0.2962962962962963,0.20423280423280424,0.1111111111111111,0.09735449735449736,39988
40,0.018017473930023755,0.10837988826815642,0.0893854748603352,0.12067039106145251,0.1217877094972067,0.1452513966480447,0.10837988826815642,0.08268156424581005,0.08044692737430167,0.09050279329608939,0.05251396648044693,0.11866969009826153,0.8329554043839759,0.0022675736961451248,0.01436130007558579,0.0007558578987150416,0.011337868480725623,0.019652305366591082,0.02343159486016629,0.9765684051398337,0.19776536312849163,0.3206703910614525,0.09162011173184358,0.20335195530726258,0.18659217877094972,79899
43,0.02906953335749084,0.5969529085872576,0.3954293628808864,0.0034626038781163434,0.0006925207756232687,0.0,0.0006925207756232687,0.0013850415512465374,0.0013850415512465374,0.0,0.0,0.0020761245674740486,0.9515570934256056,0.0020761245674740486,0.0,0.0,0.004844290657439446,0.03944636678200692,0.019377162629757784,0.9806228373702423,0.9923822714681441,0.0034626038781163434,0.0,0.004155124653739612,0.0,0
46,0.02079558722873133,0.041626331074540175,0.20329138431752178,0.16263310745401743,0.1393998063891578,0.09390125847047434,0.07841239109390126,0.07357212003872217,0.05324298160696999,0.0696999031945789,0.08422071636011616,0.06721433905899925,0.8752800597460791,0.0,0.01344286781179985,0.0007468259895444362,0.019417475728155338,0.02389843166542196,0.0351008215085885,0.9648991784914115,0.24491771539206195,0.1287512100677638,0.1558567279767667,0.3388189738625363,0.13165537270087124,51964
56,0.011897572170551998,0.05583756345177665,0.1065989847715736,0.2182741116751269,0.16074450084602368,0.09137055837563451,0.05583756345177665,0.06937394247038917,0.077834179357022,0.07952622673434856,0.08460236886632826,0.04907306434023991,0.9138495092693566,0.004362050163576881,0.006543075245365322,0.0,0.003271537622682661,0.022900763358778626,0.025081788440567066,0.9749182115594329,0.16243654822335024,0.1996615905245347,0.22165820642978004,0.2707275803722504,0.1455160744500846,19832
60,0.023050287876957766,0.032314410480349345,0.1685589519650655,0.19126637554585152,0.18078602620087336,0.08471615720524017,0.06637554585152838,0.07685589519650655,0.07510917030567686,0.06637554585152838,0.05764192139737991,0.11225997045790251,0.8249630723781388,0.0007385524372230429,0.014771048744460856,0.0,0.005908419497784343,0.0413589364844904,0.025110782865583457,0.9748892171344166,0.20087336244541484,0.12489082969432315,0.11353711790393013,0.2366812227074236,0.3240174672489083,40240
65,0.008938277569754802,0.07432432432432433,0.11711711711711711,0.11711711711711711,0.09684684684684684,0.09684684684684684,0.0990990990990991,0.10810810810810811,0.07432432432432433,0.09684684684684684,0.11936936936936937,0.03588907014681892,0.9102773246329527,0.004893964110929853,0.0032626427406199023,0.0,0.008156606851549755,0.037520391517128875,0.04404567699836868,0.9559543230016313,0.19144144144144143,0.3400900900900901,0.22072072072072071,0.22747747747747749,0.02027027027027027,31216
70,0.013045053750452952,0.08796296296296297,0.10493827160493827,0.11419753086419752,0.1388888888888889,0.09722222222222222,0.1111111111111111,0.12037037037037036,0.08179012345679013,0.05864197530864197,0.08487654320987655,0.16266375545851527,0.7063318777292577,0.0,0.06877729257641921,0.0,0.0054585152838427945,0.056768558951965066,0.03275109170305677,0.9672489082969432,0.19290123456790123,0.11419753086419752,0.25617283950617287,0.3132716049382716,0.12345679012345678,48637
