TrackId,TotPop,AgeGroup0,AgeGroup1,AgeGroup2,AgeGroup3,AgeGroup4,AgeGroup5,AgeGroup6,AgeGroup7,AgeGroup8,AgeGroup9,Male,Race0,Race1,Race2,Race3,Race4,Race5,Race6,Hispanic,EduLevel0,EduLevel1,EduLevel2,EduLevel3,EduLevel4,Income0,Income1,Income2,Income3,Income4,Income5,Income6
166.01,0.025346256,0.017147311,0.074434918,0.220576773,0.233047545,0.144193297,0.092751364,0.064692128,0.068199532,0.045206547,0.039750585,0.533673795,0.66773061,0.034152569,0.002553463,0.136610278,0.000638366,0.036067667,0.122247048,0.107245452,0,0.02527881,0.18401487,0.569144981,0.221561338,0.021947874,0.060356653,0.100823045,0.102194787,0.192729767,0.144718793,0.377229081
166.02,0.019011714,0.02198339,0.094284319,0.264777723,0.218368344,0.141182218,0.06888129,0.061064973,0.048851979,0.042989741,0.037616023,0.517446809,0.674468085,0.027234043,0.007659574,0.122553191,0.002553191,0.041276596,0.124255319,0.125106383,0,0,0.160447761,0.546375267,0.293176972,0,0.08460076,0.063688213,0.093155894,0.073193916,0.160646388,0.524714829
167,0.039115591,0.020119225,0.066815698,0.197714853,0.213859911,0.142573274,0.089915549,0.087183308,0.081470442,0.063586687,0.036761053,0.541261634,0.682523268,0.039296794,0.003516029,0.124922441,0.000827301,0.03598759,0.112926577,0.109617373,0,0.016574586,0.182090239,0.431169429,0.370165746,0.025256849,0.014554795,0.068065068,0.071489726,0.117294521,0.095462329,0.607876712
169,0.027708563,0.017205056,0.05372191,0.170294944,0.202949438,0.145365169,0.098314607,0.08883427,0.081811798,0.077247191,0.064255618,0.627737226,0.663357664,0.032408759,0.004671533,0.140145985,0.000583942,0.037956204,0.120875912,0.112408759,0,0.029237456,0.218095614,0.431845121,0.32082181,0.03313253,0.170481928,0.075903614,0.15,0.069879518,0.064457831,0.436144578
170,0.033072293,0.023225806,0.026451613,0.111290323,0.165483871,0.158709677,0.106774194,0.109677419,0.111290323,0.104193548,0.082903226,0.642123288,0.715264188,0.01834638,0.004403131,0.123043053,0.00146771,0.025195695,0.112279843,0.095156556,0,0.008524241,0.13505594,0.464837507,0.391582312,0.033712984,0.040091116,0.0523918,0.053302961,0.10523918,0.063781321,0.651480638
171.01,0.030467284,0.042810099,0.052689352,0.140870838,0.188071716,0.134650567,0.107574094,0.103183315,0.105378705,0.07025247,0.054518844,0.519915029,0.737387148,0.022304833,0.003186405,0.096654275,0.000265534,0.027615507,0.112586298,0.090281466,0,0.031288724,0.132589839,0.426889715,0.409231722,0.01762365,0.001705514,0.076179648,0.178510517,0.125639568,0.10233087,0.498010233
171.02,0.030726167,0.033126294,0.082470669,0.187715666,0.179434092,0.138371291,0.092477571,0.102139406,0.066252588,0.066597654,0.051414769,0.487361769,0.72011585,0.032912059,0.001843075,0.098736177,0.000263296,0.026066351,0.120063191,0.090573986,0,0.045179651,0.139096407,0.420846674,0.394877268,0.038437303,0.061121613,0.032766226,0.097668557,0.160680529,0.166981727,0.442344045
203,0.029318491,0.017761394,0.058646113,0.170576408,0.211461126,0.157841823,0.090817694,0.093163539,0.086796247,0.064678284,0.048257373,0.61589404,0.617549669,0.020971302,0.006622517,0.187637969,0.001655629,0.061534216,0.104028698,0.141004415,0,0.055732484,0.163057325,0.40477707,0.376433121,0.029411765,0.061157796,0.088235294,0.098039216,0.12464986,0.130718954,0.467787115
204.01,0.026171445,0.018875344,0.039323634,0.117970901,0.165159261,0.136453008,0.125442391,0.101454974,0.119543846,0.102241447,0.073535195,0.634003091,0.68748068,0.012982998,0.005564142,0.155795981,0.000618238,0.029057187,0.108500773,0.098299845,0,0.005979073,0.208893871,0.441704036,0.343423019,0.033962264,0.033333333,0.114465409,0.164779874,0.111320755,0.128301887,0.413836478
204.02,0.036785645,0.015673104,0.0302267,0.138539043,0.179401064,0.143856703,0.10411419,0.113070249,0.107472712,0.09515813,0.072488105,0.611612052,0.619749285,0.029250055,0.006157906,0.174620629,0.002199252,0.044644821,0.123378051,0.129755883,0,0.010397227,0.242335377,0.439616102,0.307651293,0.040781648,0.078164826,0.056924384,0.134664401,0.16440102,0.160152931,0.36491079
205,0.021543913,0.025565388,0.046705998,0.1179941,0.158800393,0.137659784,0.1179941,0.113077679,0.106686332,0.101769912,0.073746313,0.636124671,0.694329703,0.016522719,0.002628614,0.132557266,0.002253098,0.031918888,0.119789711,0.101764927,0,0.009395425,0.200163399,0.337009804,0.453431373,0.010447761,0.070895522,0.082089552,0.1,0.08358209,0.108955224,0.544029851
206.01,0.023509805,0.014976466,0.044929397,0.146769362,0.189559264,0.145913564,0.109542148,0.092854086,0.094993582,0.080872914,0.079589217,0.623193393,0.672401927,0.023055747,0.005849966,0.137646249,0.001376462,0.034755678,0.124913971,0.119064006,0,0.050325851,0.254525706,0.397538016,0.297610427,0.01039501,0.185031185,0.058905059,0.121968122,0.126126126,0.066528067,0.431046431
206.02,0.018380687,0.034714446,0.050391937,0.120380739,0.177491601,0.137737962,0.102463606,0.09462486,0.103583427,0.096864502,0.08174692,0.606954225,0.711707746,0.016725352,0.003080986,0.131161972,0.001760563,0.02596831,0.10959507,0.091989437,0,0.009294466,0.147021546,0.408534009,0.435149979,0.060606061,0.065779749,0.048780488,0.140428677,0.098300074,0.097560976,0.488543976
